wl,k
0.26049,3.70410E+00
0.26159,3.64117E+00
0.26270,3.57757E+00
0.26381,3.51408E+00
0.26494,3.45129E+00
0.26608,3.38972E+00
0.26723,3.32935E+00
0.26838,3.27031E+00
0.26955,3.21369E+00
0.27073,3.15591E+00
0.27191,3.09523E+00
0.27311,3.03074E+00
0.27432,2.96174E+00
0.27554,2.88868E+00
0.27677,2.81381E+00
0.27801,2.73806E+00
0.27926,2.66281E+00
0.28053,2.59006E+00
0.28180,2.52174E+00
0.28309,2.45728E+00
0.28439,2.39759E+00
0.28570,2.34234E+00
0.28702,2.29093E+00
0.28835,2.24486E+00
0.28970,2.20272E+00
0.29106,2.16454E+00
0.29244,2.13020E+00
0.29382,2.09947E+00
0.29522,2.07313E+00
0.29663,2.04943E+00
0.29806,2.02852E+00
0.29950,2.01023E+00
0.30095,1.99379E+00
0.30242,1.97977E+00
0.30390,1.96769E+00
0.30540,1.95727E+00
0.30691,1.94825E+00
0.30844,1.93981E+00
0.30998,1.93311E+00
0.31154,1.92791E+00
0.31311,1.92367E+00
0.31470,1.92011E+00
0.31631,1.91769E+00
0.31793,1.91633E+00
0.31957,1.91573E+00
0.32122,1.91584E+00
0.32290,1.91647E+00
0.32459,1.91829E+00
0.32630,1.92056E+00
0.32802,1.92347E+00
0.32977,1.92716E+00
0.33153,1.93129E+00
0.33331,1.93595E+00
0.33512,1.94137E+00
0.33694,1.94732E+00
0.33878,1.95364E+00
0.34064,1.96036E+00
0.34252,1.96789E+00
0.34442,1.97692E+00
0.34635,1.98420E+00
0.34829,1.99392E+00
0.35026,2.00292E+00
0.35225,2.01410E+00
0.35426,2.02527E+00
0.35630,2.03711E+00
0.35836,2.04836E+00
0.36044,2.05913E+00
0.36255,2.07072E+00
0.36468,2.08308E+00
0.36684,2.09605E+00
0.36903,2.10960E+00
0.37124,2.12445E+00
0.37347,2.14027E+00
0.37574,2.15726E+00
0.37803,2.17578E+00
0.38035,2.19609E+00
0.38269,2.21797E+00
0.38507,2.24157E+00
0.38748,2.26621E+00
0.38991,2.29044E+00
0.39238,2.30642E+00
0.39488,2.30637E+00
0.39741,2.28487E+00
0.39998,2.24214E+00
0.40257,2.18391E+00
0.40520,2.12482E+00
0.40787,2.07205E+00
0.41057,2.02894E+00
0.41331,1.99759E+00
0.41608,1.97753E+00
0.41889,1.97061E+00
0.42174,1.96602E+00
0.42463,1.94662E+00
0.42756,1.88758E+00
0.43053,1.74458E+00
0.43354,1.57944E+00
0.43659,1.41707E+00
0.43969,1.27015E+00
0.44283,1.14610E+00
0.44602,1.04502E+00
0.44925,9.61390E-01
0.45253,8.89840E-01
0.45586,8.28110E-01
0.45923,7.75750E-01
0.46266,7.28640E-01
0.46614,6.88030E-01
0.46967,6.51360E-01
0.47325,6.16930E-01
0.47689,5.86930E-01
0.48059,5.59970E-01
0.48435,5.36110E-01
0.48816,5.13500E-01
0.49203,4.91710E-01
0.49597,4.72080E-01
0.49997,4.53380E-01
0.50403,4.36300E-01
0.50817,4.20600E-01
0.51237,4.05180E-01
0.51664,3.91990E-01
0.52098,3.79230E-01
0.52539,3.66410E-01
0.52988,3.53750E-01
0.53445,3.42790E-01
0.53910,3.30670E-01
0.54383,3.19020E-01
0.54864,3.08750E-01
0.55354,2.98750E-01
0.55853,2.91260E-01
0.56360,2.83600E-01
0.56877,2.74900E-01
0.57404,2.66620E-01
0.57940,2.58370E-01
0.58487,2.50750E-01
0.59044,2.44100E-01
0.59612,2.35830E-01
0.60191,2.27180E-01
0.60781,2.18390E-01
0.61382,2.13400E-01
0.61996,2.07770E-01
0.62623,2.01580E-01
0.63262,1.95820E-01
0.63914,1.89550E-01
0.64579,1.83490E-01
0.65259,1.78060E-01
0.65954,1.72580E-01
0.66663,1.65900E-01
0.67387,1.59260E-01
0.68128,1.51840E-01
0.68885,1.43030E-01
0.69659,1.33120E-01
0.70450,1.25050E-01
0.71260,1.18710E-01
0.72089,1.13340E-01
0.72937,1.08510E-01
0.73805,1.03950E-01
0.74694,1.00230E-01
0.75605,9.59500E-02
0.76539,9.16300E-02
0.77495,8.71100E-02
0.78476,8.19200E-02
0.79482,7.80300E-02
0.80515,7.33100E-02
0.81574,6.75700E-02
0.82662,6.02500E-02
0.83779,5.00900E-02
0.84926,2.51200E-02
0.86106,1.14400E-02
0.87319,6.10000E-03
0.88566,4.05000E-03
0.89850,2.02400E-04
0.91171,9.71111E-05
0.92532,6.13333E-06
0.93934,0.00000E+00
0.95379,0.00000E+00
0.96869,0.00000E+00
0.98407,0.00000E+00
0.99994,0.00000E+00
1.01633,0.00000E+00
1.03327,0.00000E+00
1.05078,0.00000E+00
1.06890,0.00000E+00
1.08765,0.00000E+00
1.10708,0.00000E+00
1.12721,0.00000E+00
1.14808,0.00000E+00
1.16974,0.00000E+00
1.19224,0.00000E+00
1.21561,0.00000E+00
1.23993,0.00000E+00
1.26523,0.00000E+00
1.29159,0.00000E+00
1.31907,0.00000E+00
1.34775,0.00000E+00
1.37770,0.00000E+00
1.40901,0.00000E+00
1.44177,0.00000E+00
1.47610,0.00000E+00
1.51210,0.00000E+00
1.54991,0.00000E+00
1.58965,0.00000E+00
1.63148,0.00000E+00
1.67558,0.00000E+00
1.72212,0.00000E+00
1.77132,0.00000E+00
1.82342,0.00000E+00
1.87868,0.00000E+00
